Sample	compound	formula	isotopeLabel	IonCount	sumIC	fraction.all	Animal	Tracer	Hours	Method	Tissue
exp027j2_free_M01_Brain	2-keto-isocaproate / 2-keto-methylvalerate	C6H10O3	C12 PARENT	601899.4458538162	674138.01114105	0.8928430616677995	exp027j2_M01	U13C-AA	4	free	brain
exp027j2_free_M01_Brain	2-keto-isocaproate / 2-keto-methylvalerate	C6H10O3	C13-label-1	0	674138.01114105	0	exp027j2_M01	U13C-AA	4	free	brain
exp027j2_free_M01_Brain	2-keto-isocaproate / 2-keto-methylvalerate	C6H10O3	C13-label-4	2041.8099461469667	674138.01114105	0.003028771427220054	exp027j2_M01	U13C-AA	4	free	brain
exp027j2_free_M01_Brain	2-keto-isocaproate / 2-keto-methylvalerate	C6H10O3	C13-label-5	0	674138.01114105	0	exp027j2_M01	U13C-AA	4	free	brain
exp027j2_free_M01_Brain	2-keto-isocaproate / 2-keto-methylvalerate	C6H10O3	C13-label-6	70196.75534108686	674138.01114105	0.10412816690498049	exp027j2_M01	U13C-AA	4	free	brain
exp027j2_free_M01_Brain	3-hydroxybutyrate	C4H8O3	C12 PARENT	1015243.9630185596	1119886.37	0.9065597994719407	exp027j2_M01	U13C-AA	4	free	brain
exp027j2_free_M01_Brain	3-hydroxybutyrate	C4H8O3	C13-label-1	35580.0935519699	1119886.37	0.031771164026194815	exp027j2_M01	U13C-AA	4	free	brain
exp027j2_free_M01_Brain	3-hydroxybutyrate	C4H8O3	C13-label-2	9413.31190798439	1119886.37	0.008405595567686379	exp027j2_M01	U13C-AA	4	free	brain
exp027j2_free_M01_Brain	3-hydroxybutyrate	C4H8O3	C13-label-3	935.111762319145	1119886.37	8.350059321814452e-4	exp027j2_M01	U13C-AA	4	free	brain
exp027j2_free_M01_Brain	3-hydroxybutyrate	C4H8O3	C13-label-4	58713.88975916707	1119886.37	0.05242843500199673	exp027j2_M01	U13C-AA	4	free	brain
exp027j2_free_M01_Brain	Anserine	C10H16N4O3	C12 PARENT	571612.642791002	571612.642791002	1	exp027j2_M01	U13C-AA	4	free	brain
exp027j2_free_M01_Brain	Anserine	C10H16N4O3	C13-label-1	0	571612.642791002	0	exp027j2_M01	U13C-AA	4	free	brain
exp027j2_free_M01_Brain	Anserine	C10H16N4O3	C13-label-2	0	571612.642791002	0	exp027j2_M01	U13C-AA	4	free	brain
exp027j2_free_M01_Brain	Anserine	C10H16N4O3	C13-label-3	0	571612.642791002	0	exp027j2_M01	U13C-AA	4	free	brain
exp027j2_free_M01_Brain	alanine	C3H7NO2	C12 PARENT	17795373.0720277	17869233.35	0.99586662300919	exp027j2_M01	U13C-AA	4	free	brain
exp027j2_free_M01_Brain	alanine	C3H7NO2	C13-label-1	4526.886466082205	17869233.35	2.533341177774817e-4	exp027j2_M01	U13C-AA	4	free	brain
exp027j2_free_M01_Brain	alanine	C3H7NO2	C13-label-2	22205.540447312753	17869233.35	0.001242668894203721	exp027j2_M01	U13C-AA	4	free	brain
exp027j2_free_M01_Brain	alanine	C3H7NO2	C13-label-3	47127.85105890652	17869233.35	0.002637373978828617	exp027j2_M01	U13C-AA	4	free	brain
exp027j2_free_M01_Brain	arginine	C6H14N4O2	C12 PARENT	4885540.078005127	4999285.928437712	0.9772475805423414	exp027j2_M01	U13C-AA	4	free	brain
exp027j2_free_M01_Brain	arginine	C6H14N4O2	C13-label-1	27672.65930791004	4999285.928437712	0.0055353223848426305	exp027j2_M01	U13C-AA	4	free	brain
exp027j2_free_M01_Brain	arginine	C6H14N4O2	C13-label-2	2412.301038746718	4999285.928437712	4.825291198138306e-4	exp027j2_M01	U13C-AA	4	free	brain
exp027j2_free_M01_Brain	arginine	C6H14N4O2	C13-label-3	845.6689410067099	4999285.928437712	1.6915794637715058e-4	exp027j2_M01	U13C-AA	4	free	brain
exp027j2_free_M01_Brain	arginine	C6H14N4O2	C13-label-4	0	4999285.928437712	0	exp027j2_M01	U13C-AA	4	free	brain
exp027j2_free_M01_Brain	arginine	C6H14N4O2	C13-label-5	10071.540290192072	4999285.928437712	0.002014595771148351	exp027j2_M01	U13C-AA	4	free	brain
exp027j2_free_M01_Brain	arginine	C6H14N4O2	C13-label-6	72743.68085472987	4999285.928437712	0.014550814235476713	exp027j2_M01	U13C-AA	4	free	brain
exp027j2_free_M01_Brain	aspartate	C4H7NO4	C12 PARENT	29005214.201035082	30956761.570000004	0.936958930133824	exp027j2_M01	U13C-AA	4	free	brain
exp027j2_free_M01_Brain	aspartate	C4H7NO4	C13-label-1	1468787.9749437796	30956761.570000004	0.04744643497746135	exp027j2_M01	U13C-AA	4	free	brain
exp027j2_free_M01_Brain	aspartate	C4H7NO4	C13-label-2	381927.0938762414	30956761.570000004	0.012337436944514392	exp027j2_M01	U13C-AA	4	free	brain
exp027j2_free_M01_Brain	aspartate	C4H7NO4	C13-label-3	35622.42273940277	30956761.570000004	0.0011507154150750777	exp027j2_M01	U13C-AA	4	free	brain
exp027j2_free_M01_Brain	aspartate	C4H7NO4	C13-label-4	65209.877405499254	30956761.570000004	0.0021064825291251953	exp027j2_M01	U13C-AA	4	free	brain
exp027j2_free_M01_Brain	beta-alanine	C3H7NO2	C12 PARENT	2509724.558972777	2577317.2100000004	0.9737740272074529	exp027j2_M01	U13C-AA	4	free	brain
exp027j2_free_M01_Brain	beta-alanine	C3H7NO2	C13-label-1	55670.26889480839	2577317.2100000004	0.02160008425769538	exp027j2_M01	U13C-AA	4	free	brain
exp027j2_free_M01_Brain	beta-alanine	C3H7NO2	C13-label-2	9119.841945120977	2577317.2100000004	0.0035385019390457473	exp027j2_M01	U13C-AA	4	free	brain
exp027j2_free_M01_Brain	beta-alanine	C3H7NO2	C13-label-3	2802.540187294354	2577317.2100000004	0.0010873865958060916	exp027j2_M01	U13C-AA	4	free	brain
exp027j2_free_M01_Brain	carnosine	C9H14N4O3	C12 PARENT	7158164.223099588	7168859.782713584	0.9985080528929041	exp027j2_M01	U13C-AA	4	free	brain
exp027j2_free_M01_Brain	carnosine	C9H14N4O3	C13-label-1	10695.559613995598	7168859.782713584	0.0014919471070958894	exp027j2_M01	U13C-AA	4	free	brain
exp027j2_free_M01_Brain	carnosine	C9H14N4O3	C13-label-2	0	7168859.782713584	0	exp027j2_M01	U13C-AA	4	free	brain
exp027j2_free_M01_Brain	carnosine	C9H14N4O3	C13-label-3	0	7168859.782713584	0	exp027j2_M01	U13C-AA	4	free	brain
exp027j2_free_M01_Brain	carnosine	C9H14N4O3	C13-label-5	0	7168859.782713584	0	exp027j2_M01	U13C-AA	4	free	brain
exp027j2_free_M01_Brain	carnosine	C9H14N4O3	C13-label-6	0	7168859.782713584	0	exp027j2_M01	U13C-AA	4	free	brain
exp027j2_free_M01_Brain	carnosine	C9H14N4O3	C13-label-7	0	7168859.782713584	0	exp027j2_M01	U13C-AA	4	free	brain
exp027j2_free_M01_Brain	creatine	C4H9N3O2	C12 PARENT	1432273604.8855937	1433960212.2847219	0.9988238115781184	exp027j2_M01	U13C-AA	4	free	brain
exp027j2_free_M01_Brain	creatine	C4H9N3O2	C13-label-1	1686607.3991282773	1433960212.2847219	0.001176188421881674	exp027j2_M01	U13C-AA	4	free	brain
